GEOID,prop_white,prop_black_or_african_american,prop_american_indian_and_alaska_native,prop_asian,prop_native_hawaiian_and_other_pacific_islander,prop_some_other_race,prop_multi_racial,prop_latino,land_area_sq_km,pop_density_sq_km,prop_eli,prop_hi,prop_li,prop_mi,prop_vli,prop_college,prop_high_school,prop_less_than_hs,prop_owner,prop_renter,rental_vacancy_rate,owner_vacancy_rate,prop_rural,prop_urban
06071010409,0.5832759807295251,0.1655196145905024,0,0.024432209222298693,0,0,0.02718513420509291,0.19958706125258086,3567.190993,0.8146465960758833,0,0.6370192307692307,0.1346153846153846,0.1330128205128205,0.0953525641025641,0.25507794048181387,0.6367501180916391,0.108171941426547,0.6282051282051282,0.3717948717948718,0.11281070745697896,0.0397196261682243,0.6153081510934394,0.38469184890656066
06071010410,0.7159509202453987,0.02791411042944785,0.009202453987730062,0.023006134969325152,0,0,0.02116564417177914,0.202760736196319,57.127609,57.06522742794994,0,0.6271439224459359,0.20283370618941088,0.15212527964205816,0.017897091722595078,0.24623331898407233,0.595781317262161,0.15798536375376668,0.7352721849366145,0.26472781506338555,0.0731070496083551,0,0.6351046698872785,0.3648953301127214
06071010411,0.7055490993608368,0.013073794305636257,0.0018884369552585707,0.017431725740848343,0,0,0.05287623474723998,0.20918070889018012,54.020379,127.43338953619707,0,0.52925877763329,0.22756827048114434,0.1293888166449935,0.11378413524057217,0.23352203801051355,0.6281843914274161,0.13829357056207037,0.6001300390117035,0.39986996098829647,0.03529411764705882,0.04086656819300837,0.23148696682464456,0.7685130331753555
06071010412,0.7290836653386454,0.04249667994687915,0.012749003984063745,0.01752988047808765,0,0.04037184594953519,0.027091633466135457,0.1306772908366534,27.548178,273.33931122413975,0,0.6966809069996713,0.12290502793296089,0.10384488991127178,0.07656917515609596,0.28153815970178536,0.6443005689621346,0.07416127133608005,0.711140322050608,0.28885967794939205,0,0,0.0883419689119171,0.9116580310880829
06071010413,0.6312200783403453,0.09168721891774263,0.0023211954156390543,0,0.005948063252575076,0,0.026403597852894242,0.2424198462208037,57.795391,119.26556565730301,0,0.7047155688622755,0.11077844311377245,0.12088323353293413,0.06362275449101797,0.21634241245136188,0.6029182879377432,0.18073929961089494,0.6190119760479041,0.3809880239520958,0.0812274368231047,0.023612750885478158,0.06589730724201372,0.9341026927579863
06071010415,0.5609582963620231,0.04933451641526176,0.004081632653061225,0.09334516415261757,0.032475598935226266,0.012244897959183673,0.08198757763975155,0.16557231588287488,19.526164,288.5871490170829,0,0.7016548463356974,0.11016548463356975,0.0950354609929078,0.09314420803782505,0.2869692532942899,0.5809663250366032,0.13206442166910687,0.47092198581560285,0.5290780141843971,0.07086614173228346,0,0.05526223160858852,0.9447377683914114
06071010416,0.68214055448098,0.024500322372662798,0.024822695035460994,0.059961315280464215,0,0,0.04771115409413282,0.16086395873629916,498.944624,6.21712280439362,0,0.5797720797720798,0.11752136752136752,0.18874643874643873,0.11396011396011396,0.25685425685425683,0.5911495911495912,0.151996151996152,0.6794871794871795,0.32051282051282054,0,0.10379981464318813,0.9796096708418293,0.020390329158170697
06071010417,0.8185613359023763,0.0038535645472061657,0,0.00899165061014772,0,0,0.023442517662170842,0.14515093127809892,52.197146,59.65843419868205,0,0.6554564172958133,0.14138641043239533,0.1441317776252574,0.059025394646533974,0.3118103800572129,0.5880670208418471,0.10012259910093993,0.787920384351407,0.212079615648593,0.08069164265129683,0.021312872975277068,1,0
06071010419,0.7181443298969072,0.007422680412371134,0.002268041237113402,0.0026804123711340207,0,0,0.06659793814432989,0.20288659793814434,65.425118,74.13055028804075,0,0.6057591623036649,0.2,0.1544502617801047,0.039790575916230364,0.26359953703703703,0.5821759259259259,0.15422453703703703,0.4973821989528796,0.5026178010471204,0.03420523138832998,0.012474012474012475,0.2450721398089819,0.7549278601910181
06071010420,0.7036943319838057,0.013917004048582995,0.005060728744939271,0.027327935222672066,0.010374493927125507,0.006072874493927126,0.038461538461538464,0.1950910931174089,97.382252,40.582343484929886,0,0.47951529140219273,0.2660126947489902,0.15060588574725908,0.10386612810155799,0.3168244719592134,0.557538237436271,0.12563729060451567,0.5753029428736296,0.42469705712637046,0,0,0.7245917621252742,0.2754082378747258
