GEOID,median_outage_duration_hr,above_median_cust_affected,prop_white,prop_black_or_african_american,prop_american_indian_and_alaska_native,prop_asian,prop_native_hawaiian_and_other_pacific_islander,prop_some_other_race,prop_multi_racial,prop_latino,pop_density_sq_km,prop_eli,prop_hi,prop_li,prop_mi,prop_vli,prop_college,prop_high_school,prop_less_than_hs,prop_owner,prop_renter,rental_vacancy_rate,owner_vacancy_rate,prop_rural,prop_urban,n_outages_sq_km
06087122300,1.67,0,0.672544080604534,0.00327455919395466,0.003778337531486146,0.023929471032745592,0,0.0025188916876574307,0.04534005037783375,0.2486146095717884,94.86150745592333,0,0.8586666666666667,0,0.07,0.07133333333333333,0.6041666666666666,0.2547814207650273,0.14105191256830601,0.6086666666666667,0.3913333333333333,0.09292035398230089,0,0.37737763124524476,0.6226223687547553,3.560293352879742
06087123300,4,0,0.43289224952741023,0.00315059861373661,0,0.008191556395715185,0,0,0,0.555765595463138,21.714836660095568,0,0.7972350230414746,0.02304147465437788,0.11059907834101383,0.06912442396313365,0.3035019455252918,0.48249027237354086,0.2140077821011673,0.5668202764976958,0.43317972350230416,0,0,0.9816197587593337,0.018380241240666284,0.7525620770669541
06089010100,37.34,1,0.8099062918340026,0.02677376171352075,0.024096385542168676,0,0,0,0.02610441767068273,0.11311914323962517,1109.2672821837864,0,0.30559345156889495,0.3615279672578445,0.17598908594815826,0.15688949522510232,0.22248062015503875,0.6271317829457365,0.15038759689922482,0.15688949522510232,0.8431105047748977,0.0734632683658171,0.12878787878787878,0,1,1.484962894489674
06089010602,43.84,1,0.7598135866642768,0,0.03405628248790106,0.08531994981179424,0,0,0.017745115612116866,0.1030650654239111,804.0525748634343,0,0.7569129178704086,0.10689228229467602,0.08378043747420554,0.052414362360709864,0.49592460519612835,0.4493122771268467,0.054763117677024964,0.5848122162608337,0.4151877837391663,0,0,0,1,0.432363815126421
06089010603,20.17,1,0.7735148514851485,0.01670792079207921,0.1608910891089109,0.019183168316831683,0,0,0.0037128712871287127,0.02599009900990099,74.93311547086444,0,0.7915194346289752,0.12190812720848057,0.04063604240282685,0.045936395759717315,0.4003690036900369,0.5387453874538746,0.06088560885608856,0.7720848056537103,0.22791519434628976,0,0,0.9956958393113343,0.00430416068866571,0.8346510386606187
06089010704,64.33500000000001,1,0.7671618852459017,2.5614754098360657e-4,0.001793032786885246,0.05225409836065574,0,0,0.04764344262295082,0.13089139344262296,844.9971364466918,0,0.5388798259923872,0.2398042414355628,0.14464382816748234,0.0766721044045677,0.21727019498607242,0.6288300835654597,0.15389972144846797,0.524741707449701,0.47525829255029906,0.0672358591248666,0.04360753221010902,0,1,0.4328878772780183
06089010804,39.83,1,0.8135338345864662,0.011654135338345865,0.0011278195488721805,0.038345864661654135,0,0,0.03796992481203008,0.09736842105263158,325.46144866316706,0,0.7728310502283106,0.09474885844748858,0.10616438356164383,0.026255707762557076,0.444234404536862,0.4952741020793951,0.06049149338374291,0.7431506849315068,0.2568493150684932,0,0,0.09180327868852459,0.9081967213114754,2.2023707052394763
06089010805,30.18,1,0.8348040221629387,0.00348861071208701,0.0032833983172583622,0.027703673301867432,0,0,0.019495177508721526,0.11122511799712703,531.3649820990083,0,0.7296866702071163,0.07222517259691981,0.13860860329261815,0.05947955390334572,0.3991912189485846,0.5470826112073945,0.053726169844020795,0.6271906532129581,0.372809346787042,0.09536082474226804,0,0.03995205753096284,0.9600479424690371,1.1994694855508088
06089010806,2.17,0,0.8186510667584308,0,0.056090846524432206,0.0017205781142463868,0,0,0.02099105299380592,0.10254645560908465,240.30911724190628,0,0.5860099928622412,0.15488936473947182,0.14917915774446824,0.10992148465381871,0.2736455463728191,0.6166207529843893,0.10973370064279155,0.5596002855103498,0.44039971448965026,0.07218045112781955,0.03209876543209877,0,1,1.5711883095651134
06089010900,7.165,0,0.6584041548630784,0.046978281397544855,0.05453257790368272,0.09206798866855524,0,0,0.026203966005665724,0.12181303116147309,906.7283481682739,0,0.5703399765533411,0.2104337631887456,0.13012895662368112,0.08909730363423213,0.3287292817679558,0.5521408839779005,0.11912983425414364,0.4056271981242673,0.5943728018757327,0.07566089334548769,0.01366120218579235,0,1,0.8562118490729688
06089011100,32.84,1,0.8861164427383237,0.009596928982725527,0.00799744081893794,0.003198976327575176,0.003198976327575176,0.011836212412028152,0.03230966090850928,0.045745361484325016,637.9275476746766,0,0.7768595041322314,0.08760330578512397,0.05702479338842975,0.07851239669421488,0.3706169551708833,0.5667998224589437,0.06258322237017311,0.7818181818181819,0.21818181818181817,0,0.026748971193415638,0,1,1.4285005866035625
06089011209,0.67,0,0.6416810412419633,0.014270032930845226,0.007840677434530343,0.10349694213580053,0,0.0014113219382154618,0.03402854006586169,0.19727144425278345,1747.5221057298832,0,0.630394857667585,0.1790633608815427,0.18457300275482094,0.005968778696051423,0.22846441947565543,0.6736222578919208,0.09791332263242375,0.29522497704315886,0.7047750229568411,0.025031289111389236,0,0,1,0.27403514281478486
06089011403,1,0,0.7975903614457831,0.012392426850258176,0,0.07607573149741824,0.014802065404475043,0,0.058864027538726334,0.04027538726333907,360.02794957080454,0,0.859035004730369,0.05487228003784295,0.06906338694418164,0.017029328287606435,0.4630192502532928,0.48632218844984804,0.05065856129685917,0.7549668874172185,0.24503311258278146,0,0.016029593094944512,0.09343794579172611,0.9065620542082738,1.3632727866708605
06089011500,1.065,0,0.9170975218399001,1.7828489926903192e-4,0,0.006418256373685149,0,0,0.016223925833481905,0.06008201105366375,134.47824049044158,0,0.7596507352941176,0.109375,0.07720588235294118,0.05376838235294118,0.3605276013678554,0.5503175378602834,0.08915486077186126,0.7601102941176471,0.23988970588235295,0,0.016061867935752528,0.33783044667274387,0.6621695533272561,2.9250036262852332
06089011600,1.5,0,0.7591964518653797,0.03495956170101748,0.02269762588051135,0.054787372815027394,0,0,0.03991651447951996,0.08844247325854422,76.02654379602973,0,0.6350515463917525,0.088659793814433,0.11821305841924398,0.15807560137457044,0.2580993520518359,0.6443484521238301,0.09755219582433405,0.6941580756013745,0.30584192439862545,0.040948275862068964,0.037178265014299335,0.2718596853237039,0.7281403146762961,1.090910490159571
06089011802,1.67,0,0.8341046635813457,0.011035955856176576,0.008543965824136704,0.018511925952296192,0.013527945888216448,0.002847988608045568,0.04948380206479174,0.0619437522249911,62.69927639142339,0,0.8678459937565036,0.03433922996878252,0.053069719042663895,0.044745057232049947,0.380440097799511,0.5403422982885085,0.07921760391198043,0.9500520291363164,0.04994797086368366,0,0.01827956989247312,1,0,1.0044383900370426
06089011803,1.58,0,0.8756476683937824,7.971303308090873e-4,0.006775607811877242,0.006377042646472699,0,0,0.01992825827022718,0.09047429254683141,27.998208337848588,0,0.662605435801312,0.10871602624179943,0.15745079662605435,0.07122774133083412,0.3374485596707819,0.5936213991769548,0.06893004115226338,0.6644798500468604,0.33552014995313967,0,0.050870147255689425,0.5915155661991105,0.4084844338008895,1.7296621332668518
06089011900,2.085,1,0.884272997032641,0.0036521342159324356,0.012325952978771969,0.00410865099292399,0,0,0.04062999315224834,0.05501027162748231,66.32092086560776,0,0.8383838383838383,0.056446821152703504,0.07427213309566251,0.030897207367795602,0.43517679057116954,0.5457842248413418,0.019038984587488667,0.875222816399287,0.12477718360071301,0,0.012734584450402145,1,0,1.9679798476441472
06089012000,1.67,1,0.7073431813316207,0.004709912224363092,0.06765146649539713,0.011560693641618497,0.004709912224363092,0,0.05694712053093556,0.147077713551702,431.17047784692056,0,0.5636261261261262,0.1981981981981982,0.1768018018018018,0.06137387387387387,0.1858952413557001,0.6733995207120849,0.14070523793221498,0.47015765765765766,0.5298423423423423,0.07015810276679842,0,0.04023235800344234,0.9597676419965576,6.738481028222051
06089012101,2.2,0,0.7545748116254036,0.03961248654467169,0.013778256189451023,0.017868675995694295,0,0,0.02691065662002153,0.1472551130247578,824.3598787862654,0,0.6879271070615034,0.14635535307517084,0.1315489749430524,0.03416856492027335,0.20923819372630129,0.6718372974836263,0.1189245087900724,0.6566059225512528,0.34339407744874717,0.03827751196172249,0,0,1,12.068131702360828
06089012102,2.295,0,0.7626082526744778,0.007641365257259297,0.029546612328069283,0.06775343861436577,0,0,0.04686704024452369,0.08558329088130413,186.59630189513592,0,0.5946248600223965,0.14781634938409854,0.1937290033594625,0.06382978723404255,0.22133333333333333,0.6313333333333333,0.14733333333333334,0.49384098544232924,0.5061590145576708,0,0,0.4733820459290188,0.5266179540709812,3.612154596034215
06089012200,1.58,0,0.8271854471955533,3.36870473303015e-4,0.008253326595923868,0,0.00875863230587839,0,0.059120768064679134,0.09634495536466228,115.02985690320676,0,0.6178107606679035,0.11410018552875696,0.18831168831168832,0.07977736549165121,0.2624374835483022,0.660963411424059,0.07659910502763885,0.7152133580705009,0.2847866419294991,0,0,0.4612381483547128,0.5387618516452872,1.898757954609106
