GEOID,outage_duration_hr,mean_cust_affected,cust_affected_flag
06053014302,7.33,1,0
06019006402,0.5,1,0
06085506601,2.84,1,0
06013359103,2.5,1,0
06087120400,1.83,1,0
06047002500,2.34,1,0
06019001900,3,223,1
06013338204,0.5,1,0
06019005804,1.33,1,0
06077000401,1.5,1,0
06047001301,0.16,1,0
06097150100,0.67,1,0
06079011704,1.84,42,0
06013338302,9.67,60,0
06013313101,7.01,46,0
06085503504,2.33,16,0
06001408700,0.33,1,0
06001435601,0.5,1,0
06115040100,0,1,0
06079010701,2.83,1,0
06115040100,0.5,2.5,0
06055201700,0.33,3,0
06087110600,2,1,0
06009000400,0.83,1,0
06081613300,1.34,1,0
06019002100,3.33,1,0
06041106002,0.33,1,0
06029000903,0.83,1,0
06001420500,0,1,0
06023010502,0.5,1,0
06089012601,2.67,3,0
